jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(1),Statutory Exemption,Federal FOIA Exemption (b)(1),National Defense/Foreign Policy (classified),National Defense/Foreign Policy (classified),Federal FOIA exemption 1,2025-09-26T13:52:18.281823
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(2),Statutory Exemption,Federal FOIA Exemption (b)(2),Internal Agency Rules/Practices,No specific conditions stated,Federal FOIA exemption 2,2025-09-26T13:52:18.281828
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(3),Statutory Exemption,Federal FOIA Exemption (b)(3),Information Exempted by Other Statutes,No specific conditions stated,Federal FOIA exemption 3,2025-09-26T13:52:18.281832
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(4),Statutory Exemption,Federal FOIA Exemption (b)(4),Trade Secrets/Commercial Information,No specific conditions stated,Federal FOIA exemption 4,2025-09-26T13:52:18.281835
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(5),Statutory Exemption,Federal FOIA Exemption (b)(5),Inter-agency/Intra-agency Communications (deliberative process),No specific conditions stated,Federal FOIA exemption 5,2025-09-26T13:52:18.281839
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(6),Statutory Exemption,Federal FOIA Exemption (b)(6),Personal Privacy,No specific conditions stated,Federal FOIA exemption 6,2025-09-26T13:52:18.281842
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(7),Statutory Exemption,Federal FOIA Exemption (b)(7),Law Enforcement Records,No specific conditions stated,Federal FOIA exemption 7,2025-09-26T13:52:18.281844
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(8),Statutory Exemption,Federal FOIA Exemption (b)(8),Financial Institution Records,No specific conditions stated,Federal FOIA exemption 8,2025-09-26T13:52:18.281847
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(9),Statutory Exemption,Federal FOIA Exemption (b)(9),Geological Information,No specific conditions stated,Federal FOIA exemption 9,2025-09-26T13:52:18.281850
